assessment_id,contract_id,clause_id,rule_id,risk_flag,severity,confidence_score,rationale,evidence_text,recommended_action,assessor_type,assessment_status,assessed_at,model_name,batch_id
ASS-4ABA0A664290,CTR-B378A05887AA,CTR-B378A05887AA-CL-006,R003,FALSE,None,1,"The rule 'One-Sided Termination' flags clauses where the counterparty (supplier) has stronger termination flexibility than the customer. In this clause, the Customer has an unconditional right to terminate for convenience upon 30 days' notice. The Supplier's right to terminate for convenience is conditional upon 'annual minimum volume commitments are not achieved'. This grants the Customer more, or at least equal, flexibility in termination compared to the Supplier, thus not meeting the criteria for a one-sided termination risk favoring the supplier.",Customer may terminate for convenience upon thirty (30) days' notice. Supplier may terminate for convenience upon thirty (30) days' notice if annual minimum volume commitments are not achieved.,No action required as the clause does not present a one-sided termination risk favoring the supplier under this rule.,ADK_AGENT,COMPLETED,2026-06-20 02:47:27.007444 UTC,gemini-2.5-flash,agent-20260620-024711
ASS-138642578A18,CTR-0A351C8591CB,CTR-0A351C8591CB-CL-001,R010,TRUE,Low,0.9,"The clause explicitly states 'State of New York' as the jurisdiction. Rule R010 identifies 'state of new york' as a pattern that may require legal policy review, indicating it might be outside preferred jurisdictions or require specific approval.","Jurisdiction: State of New York, USA",Review the specified jurisdiction (State of New York) against the enterprise's approved legal policy for governing law to ensure compliance and assess any associated risks.,ADK_AGENT,COMPLETED,2026-06-19 00:03:13.452103 UTC,gemini-2.5-flash,agent-20260619-000259
ASS-C24F22B1A944,CTR-0A351C8591CB,CTR-0A351C8591CB-CL-006,R002,TRUE,Critical,0.95,"The clause explicitly states that the 'Supplier shall have no liability cap'. This directly matches a defined risky pattern for unlimited liability, which is contrary to the expected condition that supplier liability should generally be capped. This exposes the Supplier to potentially unlimited financial risk.",Supplier shall have no liability cap,"Negotiate to include a reasonable cap on supplier liability. Consider specific carve-outs for certain types of damages (e.g., gross negligence, willful misconduct, data breach) if necessary, but ensure a general cap is in place.",ADK_AGENT,COMPLETED,2026-06-19 00:03:27.545096 UTC,gemini-2.5-flash,agent-20260619-000259
ASS-AFFB5B92B57E,CTR-0A351C8591CB,CTR-0A351C8591CB-CL-007,R004,TRUE,Medium,0.95,"The clause significantly limits the scope of confidentiality by applying it 'only to information conspicuously marked confidential at the time of disclosure' and specifies a very short expiration period of 'six (6) months after disclosure'. This directly matches the risky patterns identified in rule R004, indicating that the confidentiality protection is too narrow and too short, potentially exposing the disclosing party to undue risk.",Confidentiality obligations shall apply only to information conspicuously marked confidential at the time of disclosure and shall expire six (6) months after disclosure.,"Amend the clause to broaden the definition of confidential information to include information that, by its nature or circumstances of disclosure, would reasonably be understood as confidential, regardless of marking. Extend the duration of confidentiality obligations to a more standard period (e.g., 3-5 years or indefinitely for trade secrets) or until the information becomes publicly known through no fault of the receiving party.",ADK_AGENT,COMPLETED,2026-06-19 00:03:33.498472 UTC,gemini-2.5-flash,agent-20260619-000259
ASS-090A4ACD133B,CTR-0A351C8591CB,CTR-0A351C8591CB-CL-008,R010,TRUE,Low,0.98,"The clause specifies 'State of New York' as the governing law. Rule R010 identifies 'state of new york' as a pattern that may require legal policy review, indicating that governing law should align with approved enterprise legal policy. This clause explicitly names a jurisdiction listed in the risky patterns.",State of New York,"Review the governing law provision against the enterprise's approved jurisdiction policy to confirm 'State of New York' is an acceptable jurisdiction for this agreement. If not, negotiate to align with preferred jurisdictions.",ADK_AGENT,COMPLETED,2026-06-19 00:03:39.428039 UTC,gemini-2.5-flash,agent-20260619-000259
ASS-B940C983FB43,CTR-B9F28362B79B,CTR-B9F28362B79B-CL-003,R001,TRUE,High,0.95,"The clause explicitly states that the subscription 'shall renew automatically' for additional one-year periods. This directly matches a risky pattern in rule R001. Furthermore, the requirement to cancel 'sixty (60) days prior to renewal' is considered an onerous non-renewal notice window, aligning with the rule's description and expected condition that contracts should not auto-renew without explicit customer approval or a short notice period.",shall renew automatically for additional one-year periods unless cancelled sixty (60) days prior to renewal.,"Modify the clause to require explicit customer approval for renewal, or significantly shorten the non-renewal notice period (e.g., to 30 days or less).",ADK_AGENT,COMPLETED,2026-06-19 00:03:51.677843 UTC,gemini-2.5-flash,agent-20260619-000259
ASS-44DFCACDC714,CTR-DFAF17A13D74,CTR-DFAF17A13D74-CL-001,R010,TRUE,Low,0.9,"The clause explicitly states 'Delaware' as the jurisdiction. Rule R010 identifies 'delaware' as a risky pattern for governing law, indicating it may not align with preferred enterprise legal policy.","Jurisdiction: Delaware, USA","Review the specified jurisdiction ('Delaware') to confirm alignment with enterprise legal policy for governing law. If not aligned, consider negotiating for a preferred jurisdiction.",ADK_AGENT,COMPLETED,2026-06-19 00:04:02.522262 UTC,gemini-2.5-flash,agent-20260619-000259
ASS-8E30E33BD27B,CTR-DFAF17A13D74,CTR-DFAF17A13D74-CL-003,R005,TRUE,High,0.98,"The clause authorizes the Processor to transfer personal data to 'any country' where it or its subprocessors operate, based solely on the Processor's determination of 'commercial necessity,' and 'without further notice' to the Controller. This directly matches the risky patterns identified in rule R005, indicating a lack of sufficient governance and control over cross-border data transfers, which is a significant privacy risk. The clause does not specify any requirement for lawful transfer mechanisms or prior approval of jurisdictions.","2. Cross-Border Transfers Controller hereby authorises Processor to transfer personal data to any country in which Processor or its subprocessors operate, without further notice, provided Processor considers such transfer commercially necessary.","Amend the clause to require explicit Controller approval for specific jurisdictions for cross-border data transfers. Mandate the use of appropriate lawful transfer mechanisms (e.g., Standard Contractual Clauses, adequacy decisions). Require prior notice and, ideally, consent or approval from the Controller for any new cross-border transfers or changes to transfer destinations.",ADK_AGENT,COMPLETED,2026-06-19 00:04:09.153324 UTC,gemini-2.5-flash,agent-20260619-000259
ASS-3E7C3D819256,CTR-DFAF17A13D74,CTR-DFAF17A13D74-CL-004,R006,TRUE,High,0.98,"The clause states that the Processor will maintain safeguards 'that it deems appropriate in its sole discretion'. This language grants the Processor unilateral control over the adequacy of security measures, which directly matches a risky pattern in rule R006. This deviates from the expected condition where security measures should align with defined, objective standards rather than the Processor's sole discretion, potentially exposing the contracting party to undefined security risks.","Processor shall maintain administrative, physical, and technical safeguards that it deems appropriate in its sole discretion.","Amend the clause to remove 'in its sole discretion' and specify objective security standards (e.g., industry best practices, ISO 27001, SOC 2, or mutually agreed-upon standards) that the Processor must adhere to. The clause should ensure that security measures are subject to review and approval by the contracting party or meet verifiable benchmarks.",ADK_AGENT,COMPLETED,2026-06-19 00:04:14.783645 UTC,gemini-2.5-flash,agent-20260619-000259
ASS-97C1BD7D6A25,CTR-DFAF17A13D74,CTR-DFAF17A13D74-CL-006,R007,TRUE,High,1,"The clause specifies a notification period of 'within fifteen (15) business days' which is triggered 'after Processor completes its internal investigation'. This timing is likely too slow to meet many regulatory requirements (e.g., GDPR's 72-hour notification from awareness) and industry best practices for data breach notification. The additional condition of completing an internal investigation before the notification period even begins introduces further potential for significant delay, increasing the risk of non-compliance and potential penalties.",Processor shall notify Controller of a confirmed personal data breach within fifteen (15) business days after Processor completes its internal investigation.,"Amend the clause to require notification 'without undue delay' and, in any event, within a much shorter, fixed timeframe (e.g., 24 or 72 hours) from the Processor's awareness of the breach, rather than after the completion of an internal investigation. Clarify that initial notification should not be contingent on the completion of an investigation.",ADK_AGENT,COMPLETED,2026-06-19 00:04:23.542908 UTC,gemini-2.5-flash,agent-20260619-000259
ASS-84D654463579,CTR-DFAF17A13D74,CTR-DFAF17A13D74-CL-007,R008,TRUE,Medium,1,"The clause explicitly restricts the Controller's audit rights by limiting them to 'one summary compliance statement per year' and stating that 'On-site audits are not permitted'. This directly matches the risky patterns identified in rule R008, indicating that audit rights are constrained, which deviates from the expected condition of retaining proportionate audit and assurance rights.",Controller may request one summary compliance statement per year. On-site audits are not permitted.,"Negotiate to remove restrictions on audit rights. Specifically, allow for on-site audits or more comprehensive audit mechanisms, and permit more frequent or detailed compliance statements to ensure adequate oversight and assurance.",ADK_AGENT,COMPLETED,2026-06-19 00:04:28.989340 UTC,gemini-2.5-flash,agent-20260619-000259
ASS-6153588E1C7E,CTR-0A351C8591CB,CTR-0A351C8591CB-CL-003,R001,TRUE,High,1,"The clause explicitly states that the Agreement shall 'automatically renew' for 'successive two-year periods' and requires the Customer to provide 'notice of non-renewal not less than one hundred and eighty (180) days' before the end of the term. This directly matches the risky patterns identified in rule R001, which flags automatic renewals with onerous non-renewal notice windows as a high risk.","Thereafter, the Agreement shall automatically renew for successive two-year periods unless Customer provides written notice of non-renewal not less than one hundred and eighty (180) days before the end of the then-current term.","Negotiate to remove or modify the automatic renewal provision, requiring explicit consent for renewal. Alternatively, reduce the non-renewal notice period to a more reasonable timeframe (e.g., 30-60 days) to allow for greater flexibility and reduce the risk of inadvertent renewal.",ADK_AGENT,COMPLETED,2026-06-19 00:06:53.148580 UTC,gemini-2.5-flash,agent-20260619-000638
ASS-7BCAE7F0389D,CTR-0A351C8591CB,CTR-0A351C8591CB-CL-010,R002,TRUE,Critical,0.9,"The 'Author note' within the provided clause text explicitly states 'Contains... unlimited liability'. This directly matches a risky pattern for unlimited liability, indicating a potential weakening or removal of liability limitations that is contrary to the expected condition of capped liability.",unlimited liability,"Review the contract's liability section to confirm the presence and adequacy of liability caps. Ensure that any 'unlimited liability' provisions are either removed or limited to specific, high-risk carve-outs as per policy.",ADK_AGENT,COMPLETED,2026-06-19 00:06:59.529973 UTC,gemini-2.5-flash,agent-20260619-000638
ASS-C44DA213712F,CTR-B9F28362B79B,CTR-B9F28362B79B-CL-007,R003,TRUE,High,0.95,"The clause states that 'no prepaid fees shall be refunded' if the Customer terminates for convenience. This matches a risky pattern in rule R003, indicating an imbalance where the customer bears the financial loss of prepaid services/licenses even when exercising their right to terminate for convenience. This can be considered one-sided as it disadvantages the customer.",no prepaid fees shall be refunded,"Negotiate for a pro-rata refund of any prepaid, unused fees upon customer's termination for convenience. Alternatively, seek clarification on what constitutes 'prepaid fees' and if any exceptions apply.",ADK_AGENT,COMPLETED,2026-06-19 00:22:48.823174 UTC,gemini-2.5-flash,agent-20260619-002233
